valor,classe,dormitorios,banheiros,vagas_na_garagem,tipo_do_imovel,bairro,area_terreno,area_util,condominio,torres,portaria_hrs,elevador_social,suites,apartamento_por_andar,quantidade_de_andares,elevador_de_servico,salao_de_festa,iptu,lat,long,dist_centro
280000.0,Casa,2.0,1.0,2.0,Padrão,jardim sao bento,206.0,134.0,,,,,,,,,,,-21.834612699999997,-46.572337299999994,5.1799798258797445
350000.0,Apartamento,2.0,1.0,,Padrão,centro,,71.0,55.0,2.0,24.0,2.0,,,,,,,-21.7883799,-46.5661817,0.0
3000000.0,Terreno,,,,Padrão,jardim campos elisios,3200.0,,,,,,,,,,,,,,
450000.0,Apartamento,2.0,2.0,2.0,Padrão,jardim dos estados,,72.0,230.0,2.0,24.0,1.0,1.0,7.0,4.0,1.0,,,-21.782685,-46.5596938,0.9218244817296424
1350000.0,Casa,5.0,4.0,6.0,Padrão,sao benedito,297.0,483.0,,,,,1.0,,,,,,-21.8558599,-46.5716661,7.524761037575668
60000.0,Terreno,,,,Loteamento,morada dos passaros,300.0,,,,,,,,,,,,,,
150000.0,Comercial,,1.0,,Ponto comercial,centro,,,,,,,,,,,,,-21.7883799,-46.5661817,0.0
650000.0,Casa,3.0,3.0,3.0,Padrão,jardim das hortencias,125.0,138.0,,,,,1.0,,,,,,,,
320000.0,Apartamento,2.0,1.0,1.0,Padrão,centro,,,260.0,3.0,,1.0,,4.0,11.0,,,,-21.7883799,-46.5661817,0.0
425000.0,Casa,3.0,2.0,1.0,Padrão,jardim vitoria,180.0,109.0,,,,,1.0,,,,,,,,
350000.0,Casa,2.0,2.0,1.0,Padrão,jardim centenario,250.0,113.0,,,,,,,,,,,-21.805588500000002,-46.565064,1.9169854523102048
380000.0,Terreno,,,,Padrão,parque vivaldi leite ribeiro,600.0,,,,,,,,,,,,,,
250000.0,Apartamento,2.0,1.0,1.0,Padrão,sao joao,,51.0,250.0,1.0,,1.0,,4.0,4.0,,0.0,,-21.702056,-46.481630100000004,12.976763307040114
195000.0,Apartamento,2.0,2.0,1.0,Padrão,santa teresa,,57.0,30.0,1.0,,,1.0,2.0,2.0,,,,-21.791382199999997,-46.540400700000006,2.68274609956717
319000.0,Casa,2.0,2.0,2.0,Padrão,jardim sao bento,180.0,117.0,,,,,1.0,,,,,,-21.834612699999997,-46.572337299999994,5.1799798258797445
700000.0,Apartamento,3.0,1.0,,Padrão,centro,,125.0,5.0,1.0,24.0,1.0,,3.0,15.0,1.0,,,-21.7883799,-46.5661817,0.0
499000.0,Apartamento,3.0,2.0,1.0,Padrão,centro,,100.0,300.0,1.0,,,1.0,2.0,8.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
135000.0,Terreno,,,,Padrão,jardim paraiso,190.0,,,,,,,,,,,,-21.8264647,-46.5570867,4.337679033804785
75000.0,Terreno,,,,Loteamento,morada dos passaros,200.0,,,,,,,,,,,,,,
110000.0,Comercial,,1.0,,Ponto comercial,conjunto habitacional pedro afonso junqueira,,,,,,,,,,,,,,,
650000.0,Apartamento,3.0,3.0,2.0,Padrão,jardim esmeralda,,109.0,500.0,2.0,,1.0,2.0,2.0,5.0,,0.0,,,,
450000.0,Casa,3.0,2.0,2.0,Padrão,jardim country club,198.0,104.0,,,,,1.0,,,,,,-21.78945135,-46.58977530336176,2.438972413884435
845000.0,Apartamento,3.0,3.0,2.0,Padrão,sao benedito,,140.0,600.0,,,,1.0,,,,,,-21.8558599,-46.5716661,7.524761037575668
430000.0,Apartamento,2.0,3.0,1.0,Padrão,jardim elvira dias,,80.0,200.0,1.0,,1.0,2.0,4.0,8.0,,,,,,
270000.0,Apartamento,2.0,1.0,3.0,Padrão,jardim quisisana,,98.4,,,,,,1.0,2.0,,,,-21.7976825,-46.5658718,1.0348966711130358
185000.0,Apartamento,2.0,1.0,1.0,Padrão,campo das aroeiras,,65.0,110.0,,,,,2.0,2.0,,,,,,
280000.0,Casa,2.0,2.0,2.0,Padrão,santa teresa,125.0,70.0,,,,,,,,,,,-21.791382199999997,-46.540400700000006,2.68274609956717
300000.0,Casa,2.0,2.0,2.0,Padrão,jardim sao bento,180.0,110.0,,,,,,,,,,,-21.834612699999997,-46.572337299999994,5.1799798258797445
970000.0,Apartamento,2.0,3.0,3.0,Padrão,centro,,117.0,450.0,,24.0,1.0,2.0,3.0,11.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
450000.0,Casa,2.0,2.0,4.0,Padrão,residencial santa clara,160.0,144.0,,,,,1.0,,,,,,-21.7882876,-46.5514186,1.5243441037943404
450000.0,Casa,3.0,2.0,6.0,Padrão,jardim dos estados,492.0,61.0,,,,,1.0,,,,,,-21.782685,-46.5596938,0.9218244817296424
780000.0,Apartamento,3.0,2.0,1.0,Padrão,jardim cascatinha,,135.0,650.0,,,1.0,1.0,3.0,6.0,1.0,0.0,,,,
3500000.0,Casa,6.0,6.0,5.0,Casa em condomínio,bortolan,1650.0,565.0,1187.0,,24.0,,3.0,,,,,,-21.800174050000006,-46.63251884294958,6.973539619752122
300000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim vitoria,,68.0,10.0,,,,1.0,1.0,3.0,,,,,,
300000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim vitoria,,,130.0,1.0,,,1.0,2.0,3.0,,,,,,
275000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim country club,,52.0,200.0,1.0,,1.0,1.0,6.0,11.0,1.0,,,-21.78945135,-46.58977530336176,2.438972413884435
