endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
 Jardim Panorama,760000.0,360,4,5,2
 Residencial Porto Seguro,475000.0,219,3,2,2
 Jardim Elizabeth,700000.0,180,3,2,2
 Urb Salto de São José,1562000.0,300,4,3,4
 Residencial Lagos D Icaraí ,913000.0,308,3,4,2
 Village Moutonnee,550000.0,164,3,3,4
 Jardim D'icarai,435000.0,100,2,2,2
 Residencial Lagos D Icaraí ,950000.0,199,3,3,2
 CONDOMINIO ZULEIKA JABOUR,6000.0,124,3,3,4
 SP,1100000.0,290,3,4,2
 Jardim das Nações,210000.0,110,3,2,2
 SP,1650000.0,317,5,4,4
 Village Moutonnee,645000.0,163,3,3,2
 Jardim Santa Marta,380000.0,132,2,3,2
 Loteamento Jardim das Constelacoes,730000.0,105,3,2,4
 SP,165000.0,35,1,1,2
 Residencial São Bento,180000.0,50,2,1,2
 Buru,480000.0,198,3,3,2
 SP,645000.0,113,3,3,2
 Jardim Nair Maria,950000.0,124,3,2,2
 SP,320000.0,206,3,3,2
 CONDOMINIO ZULEIKA JABOUR,1350000.0,180,2,2,18
 SP,1150000.0,100,2,1,2
 Residencial Primavera,270000.0,363,4,4,4
 Jardim Saltense,1499999.0,395,3,4,3
 Residencial São Gabriel,300000.0,100,2,1,1
 Village Moutonnee,320000.0,80,2,1,2
 Jardim Panorama,650000.0,320,4,6,4
 SP,415000.0,125,3,2,2
 Loteamento Terras de Sao Pedro e Sao Paulo,1590000.0,85,2,2,2
 Jardim Elizabeth,750000.0,105,3,2,2
 Jardim Panorama,1060000.0,132,2,2,2
 Residencial Porto Seguro,760000.0,380,4,6,2
 Jardim Elizabeth,475000.0,178,3,2,2
 Urb Salto de São José,700000.0,130,3,1,2
 Residencial Lagos D Icaraí ,1562000.0,183,3,2,4
 Village Moutonnee,913000.0,360,4,5,2
 Jardim D'icarai,550000.0,219,3,2,2
 Residencial Lagos D Icaraí ,435000.0,180,3,2,2
 CONDOMINIO ZULEIKA JABOUR,950000.0,300,4,3,4
 SP,6000.0,308,3,4,2
 Jardim das Nações,1100000.0,164,3,3,4
 SP,210000.0,100,2,2,2
 Village Moutonnee,1650000.0,199,3,3,2
 Jardim Santa Marta,645000.0,124,3,3,4
 Loteamento Jardim das Constelacoes,380000.0,290,3,4,2
 SP,730000.0,110,3,2,2
 Residencial São Bento,165000.0,317,5,4,4
 Buru,180000.0,163,3,3,2
 SP,480000.0,132,2,3,2
 Jardim Nair Maria,645000.0,105,3,2,4
 SP,950000.0,35,1,1,2
 CONDOMINIO ZULEIKA JABOUR,320000.0,50,2,1,2
 SP,1350000.0,198,3,3,2
 Residencial Primavera,1150000.0,113,3,3,2
 Jardim Saltense,270000.0,124,3,2,2
 Residencial São Gabriel,1499999.0,206,3,3,2
 Village Moutonnee,300000.0,180,2,2,18
 Jardim Panorama,320000.0,100,2,1,2
 SP,650000.0,363,4,4,4
 Loteamento Terras de Sao Pedro e Sao Paulo,415000.0,395,3,4,3
 Jardim Elizabeth,1590000.0,100,2,1,1
 Jardim Panorama,750000.0,80,2,1,2
 Residencial Porto Seguro,1060000.0,320,4,6,4
 Jardim Elizabeth,760000.0,125,3,2,2
 Urb Salto de São José,475000.0,85,2,2,2
 Residencial Lagos D Icaraí ,700000.0,105,3,2,2
 Village Moutonnee,1562000.0,132,2,2,2
 Jardim D'icarai,913000.0,380,4,6,2
 Residencial Lagos D Icaraí ,550000.0,178,3,2,2
 CONDOMINIO ZULEIKA JABOUR,435000.0,130,3,1,2
 SP,950000.0,183,3,2,4
 Jardim das Nações,6000.0,360,4,5,2
 SP,1100000.0,219,3,2,2
 Village Moutonnee,210000.0,180,3,2,2
 Jardim Santa Marta,1650000.0,300,4,3,4
 Loteamento Jardim das Constelacoes,645000.0,308,3,4,2
 SP,380000.0,164,3,3,4
 Residencial São Bento,730000.0,100,2,2,2
 Buru,165000.0,199,3,3,2
 SP,180000.0,124,3,3,4
 Jardim Nair Maria,480000.0,290,3,4,2
 SP,645000.0,110,3,2,2
 CONDOMINIO ZULEIKA JABOUR,950000.0,317,5,4,4
 SP,320000.0,163,3,3,2
 Residencial Primavera,1350000.0,132,2,3,2
 Jardim Saltense,1150000.0,105,3,2,4
 Residencial São Gabriel,270000.0,35,1,1,2
 Village Moutonnee,1499999.0,50,2,1,2
 Jardim Panorama,300000.0,198,3,3,2
 SP,320000.0,113,3,3,2
 Loteamento Terras de Sao Pedro e Sao Paulo,650000.0,124,3,2,2
 Jardim Elizabeth,415000.0,206,3,3,2
 Jardim Panorama,1590000.0,180,2,2,18
 Residencial Porto Seguro,750000.0,100,2,1,2
 Jardim Elizabeth,1060000.0,363,4,4,4
 Urb Salto de São José,760000.0,395,3,4,3
 Residencial Lagos D Icaraí ,475000.0,100,2,1,1
 Village Moutonnee,700000.0,80,2,1,2
 Jardim D'icarai,1562000.0,320,4,6,4
 Residencial Lagos D Icaraí ,913000.0,125,3,2,2
 CONDOMINIO ZULEIKA JABOUR,550000.0,85,2,2,2
 SP,435000.0,105,3,2,2
 Jardim das Nações,950000.0,132,2,2,2
 SP,6000.0,380,4,6,2
 Village Moutonnee,1100000.0,178,3,2,2
 Jardim Santa Marta,210000.0,130,3,1,2
 Loteamento Jardim das Constelacoes,1650000.0,183,3,2,4
 SP,645000.0,360,4,5,2
 Residencial São Bento,380000.0,219,3,2,2
 Buru,730000.0,180,3,2,2
 SP,165000.0,300,4,3,4
 Jardim Nair Maria,180000.0,308,3,4,2
 SP,480000.0,164,3,3,4
 CONDOMINIO ZULEIKA JABOUR,645000.0,100,2,2,2
 SP,950000.0,199,3,3,2
 Residencial Primavera,320000.0,124,3,3,4
 Jardim Saltense,1350000.0,290,3,4,2
 Residencial São Gabriel,1150000.0,110,3,2,2
 Village Moutonnee,270000.0,317,5,4,4
 Jardim Panorama,1499999.0,163,3,3,2
 SP,300000.0,132,2,3,2
 Loteamento Terras de Sao Pedro e Sao Paulo,320000.0,105,3,2,4
